"ProjectName","StepTemplate"
"CAPT_CHINA","Deploy a Package"
"CAPT_CHINA","Run a Script"
"CAPT_CHINA","Run a Script"
"CAPT_CHINA","Run a Script"
"CAPT_CHINA","Octopus.Email"
"VRT - Smoke Test Run","Deploy a Package"
"VRT - Smoke Test Run","Octopus.Email"
"Admin","Deploy a Package"
"News","Deploy a Package"
"History","Deploy a Package"
"Search","Deploy a Package"
"Show","Deploy a Package"
"WebService","Deploy a Package"
"PerformanceReportService","Deploy a Package"
"ProAdmService","Deploy a Package"
"DrawingUploader (Tapir-XGV)","Deploy a Package"
"PMA WEB","Deploy a Package"
"PMA ADMIN","Deploy a Package"
"Optimizely - xylem.com","Run a Script"
"Optimizely - xylem.com","Run a Script"
"Optimizely - xylem.com","Run a Script"
"Optimizely - xylem.com","Run a Script"
"Optimizely - xylem.com","Run a Script"
"Optimizely - xylem.com","Run a Script"
"Optimizely - xylem.com","Run a Script"
"Optimizely - xylem.com","Run a Script"
"Optimizely - xylem.com","Run a Script"
"SVC-XOL","Run a Script"
"SVC-XOL","Deploy a Package"
"SVC-XOL","Deploy a Package"
"SVC-XOL","Deploy a Package"
"SVC-XOL","Run a Script"
"SVC-XOL","Run a Script"
"AM.API","Deploy a Package"
"FetClient","Deploy a Package"
"FetClient","Deploy a Package"
"XylemServiceGuideWebApp","Deploy a Package"
"XylemServiceGuideWebApp","Deploy a Package"
"FetService","Deploy a Package"
"Selector V3","Deploy a Package"
"Selector V3","Run a Script"
"Selector V3","Run a Script"
"Selector V3","Run a Script"
"Selector V3","Run a Script"
"Selector V3","Run a Script"
"ShowPdf","Deploy a Package"
"CurvesAndRating","Deploy a Package"
"XylemServiceGuide_XSG_2019","Deploy a Package"
"XylemServiceGuide_XSG_2019","Deploy a Package"
"XylemServiceGuide_XSG_2019","Deploy a Package"
"Cert","Deploy a Package"
"XylemServiceGuide_XSG_API","Deploy a Package"
"XylemServiceGuide_XSG_API","Deploy a Package"
"XylemServiceGuide_XSG_API","Deploy a Package"
"XylemServiceGuide_XSG_API","Run a Script"
"PAR","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"StdTree (Standard Tree)","Deploy to IIS"
"appsa","Deploy to IIS"
"appsa","Deploy to IIS"
"appsa","Deploy to IIS"
"appsa","Deploy to IIS"
"servicesc","Deploy to IIS"
"servicesc","Deploy to IIS"
"servicesc","Deploy to IIS"
"servicesc","Deploy to IIS"
"xappsa","Deploy to IIS"
"xappsa","Deploy to IIS"
"xappsa","Deploy to IIS"
"xappsa","Deploy to IIS"
"xappsb","Deploy to IIS"
"xappsb","Deploy to IIS"
"xappsb","Deploy to IIS"
"xappsb","Deploy to IIS"
"ServiceGuideWebSite","Deploy to IIS"
"ServiceGuideWebSite","Deploy to IIS"
"ServiceGuideWebSite","Deploy to IIS"
"ServiceGuideWebSite","Deploy to IIS"
"TPIAdminDocumentUploader","Deploy a Package"
"TPIAdminDocumentUploader","Run a Script"
"TPIAdminDocumentUploader","Run a Script"
"TPIAdminDocumentUploader","Run a Script"
"extranetapps","Deploy to IIS"
"extranetapps","Deploy to IIS"
"extranetapps","Deploy to IIS"
"extranetapps","Deploy to IIS"
"tpi.world.fluidtechnology.net","Deploy to IIS"
"tpi.world.fluidtechnology.net","Deploy to IIS"
"tpi.world.fluidtechnology.net","Deploy to IIS"
"tpi.world.fluidtechnology.net","Deploy to IIS"
"tpi.xylem.com","Deploy to IIS"
"tpi.xylem.com","Deploy to IIS"
"tpi.xylem.com","Deploy to IIS"
"tpi.xylem.com","Deploy to IIS"
"RitArk","Deploy a Package"
"Phoenix_API","Deploy a Package"
"ProperService","Deploy a Package"
"DocumentService","Deploy a Package"
"Poseidon","Deploy a Package"
"Poseidon","Run a Script"
"Poseidon","Run a Script"
"Neptune","Deploy a Package"
"Neptune","Octopus.Email"
"NeptuneUsersService","Deploy a Package"
"BRMSAdmin_2019","Deploy a Package"
"BRMSService_2019","Deploy a Package"
"ExApproval","Deploy a Package"
"Poseidon_website","Deploy to IIS"
"Poseidon_website","Deploy to IIS"
"Poseidon_website","Deploy to IIS"
"Poseidon_website","Deploy to IIS"
